slug,category,title,description,complexity,zip_mb,preview_image
3d-1,3d-animation,Kinetic 3D Kanji Wall,"Extruded Japanese characters float and drift across a dark stage in glossy monochrome, built for bold experimental typography intros.",complex,,
3d-2,3d-animation,Depth In Motion Portfolio,"Oversized headline type layered at different depths parallaxes past a floating info card, a striking scroll hero for design studios.",complex,,
3d-3,3d-animation,Curved Video Carousel,"A ribbon of fashion clips wraps around a curved 3D surface that rotates on scroll, ideal for immersive editorial showcases.",complex,,
3d-4,3d-animation,Floating Portrait Tunnel,"Scattered portrait cards recede into a perspective tunnel behind a landing headline, a polished hero for SaaS or AI products.",complex,,
3d-5,3d-animation,3D Sneaker Cloud,"Dozens of sneakers hover in an interactive 3D cluster with category filter chips, a playful product gallery for streetwear stores.",complex,,
3d-6,3d-animation,WebGL Video Projection,"A pixel-shattered 3D droplet plays video across its facets over a watercolor backdrop, a WebGL experiment for creative labs.",complex,,
3d-7,3d-animation,3D Cover Flow Gallery,"Fashion portraits slide through a rotating cover-flow carousel on a deep red stage, suited to lookbooks and editorial features.",complex,,
3d-8,3d-animation,404 Shatter Page,"A giant 404 sits amid shattered 3D shards with chromatic-aberration edges, a dramatic error page for portfolios and agencies.",complex,,
3d-9,3d-animation,Dithered 3D Blob,"A morphing organic blob rendered in black-and-white halftone dithering, a retro-print WebGL centerpiece for experimental sites.",complex,,
3d-10,3d-animation,3D Apparel Showcase,"A rotating 3D t-shirt anchors floating garment mockups around a model, built for apparel and merch product pages.",complex,,
3d-11,3d-animation,3D Device Render,"A laptop and phone rotate as photoreal 3D renders on a clean stage, a minimal hero for hardware and app launches.",complex,,
3d-12,3d-animation,3D Poster Vortex,"Colorful poster cards orbit a spinning faceted core over a dark grid, an eye-catching gallery for creative portfolios.",complex,,
3d-13,3d-animation,3D Globe Client List,"A rotating planet backs a stacked list of client names with red accents, a bold about or credentials section for agencies.",complex,,
3d-14,3d-animation,Draggable 3D Corridor,"A green-tiled corridor sits in a draggable 3D frame you can spin and explore, a tactile hero for immersive storytelling.",complex,,
3d-15,3d-animation,Shattered Text Reveal,"A wordmark emerges from dark magenta 3D shards that scatter on load, a high-impact intro animation for brand sites.",complex,,
3d-16,3d-animation,Neon 3D Room,"A lone silhouette stands in a pink neon 3D room wrapped in moving quote text, an atmospheric scene for narrative pages.",complex,,
3d-17,3d-animation,3D Furniture Hero,"A single chair rotates in 3D between oversized display type, a refined hero for furniture and interior-design studios.",complex,,
3d-18,3d-animation,Cosmic Image Ring,"Image tiles arrange into a slowly rotating ring in dark space around a centered wordmark, a cinematic showcase for portfolios.",complex,,
3d-19,3d-animation,3D Can Branding Hero,"A soda can rotates in 3D between elegant thin headline type on a light stage, tailored to beverage and branding sites.",complex,,
3d-20,3d-animation,3D Video Wall Portfolio,"A graffiti logo floats before a surrounding wall of 3D video thumbnails, an energetic reel intro for studios and creators.",complex,,
3d-21,3d-animation,3D Product Feature,"A matte pod product floats in 3D with annotated feature callouts on black, a sleek section for gadget and hardware pages.",complex,,
3d-22,3d-animation,3D Card Stack,"Pastel note cards fan out in a soft 3D stack on a warm background, a friendly hero for personal sites and side projects.",medium,,
bg-1,background-animation,Spotlight Beam Backdrop,"A soft volumetric light beam sweeps down over a dark blue stage, a moody hero background for premium and minimal landing pages.",simple,,
bg-2,background-animation,Dotted Map Glow,"A halftone dot grid forms continents with glowing blue hotspots, a tech backdrop for data, network, and analytics products.",medium,,
bg-3,background-animation,Starfield Nebula Glow,"A deep radial blue glow scattered with drifting stars, a calm cosmic backdrop for hero sections and splash screens.",simple,,
